#ID	Name
1	yneL
2	nikR
3	dnaA
4	tdcA
5	yhjB
6	nemR
7	cspA
8	metR
9	dhaR
10	rcsA
11	araC
12	adiY
13	nac
14	yqhC
15	decoy18
16	yjjM
17	rpoN
18	ykgD
19	marR
20	cspE
21	yciT
22	lrhA
23	fis
24	csiR
25	rbsR
26	yebK
27	rpoE
28	decoy11
29	gcvR
30	decoy9
31	sdiA
32	uidR
33	yihL
34	decoy6
35	ygbI
36	glcC
37	rtcR
38	cdaR
39	birA
40	ydiP
41	mcbR
42	luxS
43	arsR
44	ascG
45	yfeR
46	abrB
47	yafC
48	hcaR
49	decoy16
50	decoy4
51	mngR
52	rseC
53	feoC
54	yahD
55	crp
56	tdcR
57	hipB
58	glpR
59	ydcR
60	mtlR
61	sgrR
62	ydhB
63	crl
64	decoy1
65	racR
66	phoB
67	abgR
68	uhpA
69	pdhR
70	decoy14
71	frlR
72	creB
73	lexA
74	nanR
75	sgcR
76	lacI
77	pspB
78	betI
79	puuR
80	dicA
81	decoy30
82	hipA
83	dcuR
84	metJ
85	yqjI
86	cpxR
87	yrbA
88	decoy19
89	marA
90	yeeY
91	ybiH
92	fnr
93	osmE
94	ygjM
95	lsrR
96	hdfR
97	ytfH
98	decoy2
99	fhlA
100	yiaU
101	zraR
102	yedW
103	acrR
104	feaR
105	yidZ
106	rhaR
107	gntR
108	ygaV
109	kdpE
110	flhD
111	yddM
112	yhaJ
113	hupB
114	ykgA
115	exuR
116	iscR
117	yfiE
118	trpR
119	ilvY
120	cusR
121	kdgR
122	srlR
123	envR
124	ygeV
125	phoP
126	decoy22
127	nadR
128	chbR
129	yidF
130	arcB
131	matA
132	yfaX
133	decoy8
134	ebgR
135	ttdR
136	ygeH
137	yjiR
138	evgA
139	frmR
140	cysB
141	fimZ
142	pspF
143	ycaN
144	baeR
145	malT
146	yijO
147	fadR
148	xapR
149	aaeR
150	csgD
151	caiF
152	deoR
153	ycjZ
154	yjdC
155	ygiV
156	frvR
157	dsdC
158	yidL
159	decoy3
160	prpR
161	fucR
162	zntR
163	mqsR
164	ada
165	ypdC
166	torR
167	melR
168	mntR
169	atoC
170	tyrR
171	yeiL
172	nrdR
173	ypdB
174	norR
175	paaX
176	dgsA
177	eutR
178	mhpR
179	pepA
180	yhcF
181	yeaT
182	sfsB
183	hupA
184	ygfI
185	yphH
186	yjiE
187	lldR
188	gadW
189	treR
190	ydeM
191	ydfH
192	narL
193	cueR
194	flgM
195	decoy20
196	decoy28
197	cbl
198	ycjW
199	purR
200	yagI
201	rpoD
202	fabR
203	bolA
204	rpoH
205	gcvA
206	yidP
207	iclR
208	nsrR
209	rstA
210	rob
211	dgoR
212	rfaH
213	yehT
214	yfeD
215	yfhH
216	yefM
217	yiiE
218	ybdO
219	flhC
220	narP
221	ulaR
222	ybhD
223	argR
224	rutR
225	decoy13
226	yjhI
227	galR
228	yjhU
229	ydjF
230	yeiE
231	yghO
232	argP
233	gutM
234	basR
235	oxyR
236	rhaS
237	ybaQ
238	yaiV
239	decoy10
240	decoy15
241	asnC
242	rho
243	fecI
244	lrp
245	rpiR
246	fecR
247	yiaJ
248	decoy23
249	qseB
250	ydcN
251	cadC
252	decoy17
253	uxuR
254	gadX
255	modE
256	decoy24
257	ycfQ
258	agaR
259	gadE
260	nagC
261	gatR
262	envY
263	allS
264	nhaR
265	yihW
266	decoy7
267	decoy5
268	ihfB
269	malI
270	ygeK
271	ydeO
272	yagP
273	bglJ
274	rcsB
275	yahB
276	ychQ
277	cytR
278	mprA
279	leuO
280	putA
281	hns
